id	source_verse	text	skip_space_after	exclude	id_range_end	source_verse_range_end	required
40001001001	40001001	Inilah					y
40001001002	40001001	silsilah					y
40001001003	40001001	Yesus					y
40001001004	40001001	Kristus	y				y
40001001005	40001001	,		y			n
40001001006	40001001	anak					y
40001001007	40001001	Daud	y				y
40001001008	40001001	,		y			n
40001001009	40001001	anak					y
40001001010	40001001	Abraham	y				y
40001001011	40001001	.		y			n
40001002001	40001002	Abraham					y
40001002002	40001002	memperanakkan					y
40001002003	40001002	Ishak	y				y
40001002004	40001002	,		y			n
40001002005	40001002	Ishak					y
40001002006	40001002	memperanakkan					y
40001002007	40001002	Yakub	y				y
40001002008	40001002	,		y			n
40001002009	40001002	Yakub					y
40001002010	40001002	memperanakkan					y
40001002011	40001002	Yehuda					y
40001002012	40001002	dan					y
40001002013	40001002	saudara-saudaranya	y				y
40001002014	40001002	,		y			n
40001003001	40001003	Yehuda					y
40001003002	40001003	memperanakkan					y
40001003003	40001003	Peres					y
40001003004	40001003	dan					y
40001003005	40001003	Zerah					y
40001003006	40001003	dari					y
40001003007	40001003	Tamar	y				y
40001003008	40001003	,		y			n
40001003009	40001003	Peres					y
40001003010	40001003	memperanakkan					y
40001003011	40001003	Hezron	y				y
40001003012	40001003	,		y			n
40001003013	40001003	Hezron					y
40001003014	40001003	memperanakkan					y
40001003015	40001003	Ram	y				y
40001003016	40001003	,		y			n
40001004001	40001004	Ram					y
40001004002	40001004	memperanakkan					y
40001004003	40001004	Aminadab	y				y
40001004004	40001004	,		y			n
40001004005	40001004	Aminadab					y
40001004006	40001004	memperanakkan					y
40001004007	40001004	Nahason	y				y
40001004008	40001004	,		y			n
40001004009	40001004	Nahason					y
40001004010	40001004	memperanakkan					y
40001004011	40001004	Salmon	y				y
40001004012	40001004	,		y			n
40001005001	40001005	Salmon					y
40001005002	40001005	memperanakkan					y
40001005003	40001005	Boas					y
40001005004	40001005	dari					y
40001005005	40001005	Rahab	y				y
40001005006	40001005	,		y			n
40001005007	40001005	Boas					y
40001005008	40001005	memperanakkan					y
40001005009	40001005	Obed					y
40001005010	40001005	dari					y
40001005011	40001005	Rut	y				y
40001005012	40001005	,		y			n
40001005013	40001005	Obed					y
40001005014	40001005	memperanakkan					y
40001005015	40001005	Isai	y				y
40001005016	40001005	,		y			n
40001006001	40001006	Isai					y
40001006002	40001006	memperanakkan					y
40001006003	40001006	raja					y
40001006004	40001006	Daud	y				y
40001006005	40001006	.		y			n
40001006006	40001006	Daud					y
40001006007	40001006	memperanakkan					y
40001006008	40001006	Salomo					y
40001006009	40001006	dari					y
40001006010	40001006	isteri					y
40001006011	40001006	Uria	y				y
40001006012	40001006	,		y			n
40001007001	40001007	Salomo					y
40001007002	40001007	memperanakkan					y
40001007003	40001007	Rehabeam	y				y
40001007004	40001007	,		y			n
40001007005	40001007	Rehabeam					y
40001007006	40001007	memperanakkan					y
40001007007	40001007	Abia	y				y
40001007008	40001007	,		y			n
40001007009	40001007	Abia					y
40001007010	40001007	memperanakkan					y
40001007011	40001007	Asa	y				y
40001007012	40001007	,		y			n
40001008001	40001008	Asa					y
40001008002	40001008	memperanakkan					y
40001008003	40001008	Yosafat	y				y
40001008004	40001008	,		y			n
40001008005	40001008	Yosafat					y
40001008006	40001008	memperanakkan					y
40001008007	40001008	Yoram	y				y
40001008008	40001008	,		y			n
40001008009	40001008	Yoram					y
40001008010	40001008	memperanakkan					y
40001008011	40001008	Uzia	y				y
40001008012	40001008	,		y			n
40001009001	40001009	Uzia					y
40001009002	40001009	memperanakkan					y
40001009003	40001009	Yotam	y				y
40001009004	40001009	,		y			n
40001009005	40001009	Yotam					y
40001009006	40001009	memperanakkan					y
40001009007	40001009	Ahas	y				y
40001009008	40001009	,		y			n
40001009009	40001009	Ahas					y
40001009010	40001009	memperanakkan					y
40001009011	40001009	Hizkia	y				y
40001009012	40001009	,		y			n
40001010001	40001010	Hizkia					y
40001010002	40001010	memperanakkan					y
40001010003	40001010	Manasye	y				y
40001010004	40001010	,		y			n
40001010005	40001010	Manasye					y
40001010006	40001010	memperanakkan					y
40001010007	40001010	Amon	y				y
40001010008	40001010	,		y			n
40001010009	40001010	Amon					y
40001010010	40001010	memperanakkan					y
40001010011	40001010	Yosia	y				y
40001010012	40001010	,		y			n
40001011001	40001011	Yosia					y
40001011002	40001011	memperanakkan					y
40001011003	40001011	Yekhonya					y
40001011004	40001011	dan					y
40001011005	40001011	saudara-saudaranya					y
40001011006	40001011	pada					y
40001011007	40001011	waktu					y
40001011008	40001011	pembuangan					y
40001011009	40001011	ke					y
40001011010	40001011	Babel	y				y
40001011011	40001011	.		y			n
40001012001	40001012	Sesudah					y
40001012002	40001012	pembuangan					y
40001012003	40001012	ke					y
40001012004	40001012	Babel	y				y
40001012005	40001012	,		y			n
40001012006	40001012	Yekhonya					y
40001012007	40001012	memperanakkan					y
40001012008	40001012	Sealtiel	y				y
40001012009	40001012	,		y			n
40001012010	40001012	Sealtiel					y
40001012011	40001012	memperanakkan					y
40001012012	40001012	Zerubabel	y				y
40001012013	40001012	,		y			n
40001013001	40001013	Zerubabel					y
40001013002	40001013	memperanakkan					y
40001013003	40001013	Abihud	y				y
40001013004	40001013	,		y			n
40001013005	40001013	Abihud					y
40001013006	40001013	memperanakkan					y
40001013007	40001013	Elyakim	y				y
40001013008	40001013	,		y			n
40001013009	40001013	Elyakim					y
40001013010	40001013	memperanakkan					y
40001013011	40001013	Azor	y				y
40001013012	40001013	,		y			n
40001014001	40001014	Azor					y
40001014002	40001014	memperanakkan					y
40001014003	40001014	Zadok	y				y
40001014004	40001014	,		y			n
40001014005	40001014	Zadok					y
40001014006	40001014	memperanakkan					y
40001014007	40001014	Akhim	y				y
40001014008	40001014	,		y			n
40001014009	40001014	Akhim					y
40001014010	40001014	memperanakkan					y
40001014011	40001014	Eliud	y				y
40001014012	40001014	,		y			n
40001015001	40001015	Eliud					y
40001015002	40001015	memperanakkan					y
40001015003	40001015	Eleazar	y				y
40001015004	40001015	,		y			n
40001015005	40001015	Eleazar					y
40001015006	40001015	memperanakkan					y
40001015007	40001015	Matan	y				y
40001015008	40001015	,		y			n
40001015009	40001015	Matan					y
40001015010	40001015	memperanakkan					y
40001015011	40001015	Yakub	y				y
40001015012	40001015	,		y			n
40001016001	40001016	Yakub					y
40001016002	40001016	memperanakkan					y
40001016003	40001016	Yusuf					y
40001016004	40001016	suami					y
40001016005	40001016	Maria	y				y
40001016006	40001016	,		y			n
40001016007	40001016	yang					y
40001016008	40001016	melahirkan					y
40001016009	40001016	Yesus					y
40001016010	40001016	yang					y
40001016011	40001016	disebut					y
40001016012	40001016	Kristus	y				y
40001016013	40001016	.		y			n
40001017001	40001017	Jadi					y
40001017002	40001017	seluruhnya					y
40001017003	40001017	ada	y				y
40001017004	40001017	:		y			n
40001017005	40001017	empat					y
40001017006	40001017	belas					y
40001017007	40001017	keturunan					y
40001017008	40001017	dari					y
40001017009	40001017	Abraham					y
40001017010	40001017	sampai					y
40001017011	40001017	Daud	y				y
40001017012	40001017	,		y			n
40001017013	40001017	empat					y
40001017014	40001017	belas					y
40001017015	40001017	keturunan					y
40001017016	40001017	dari					y
40001017017	40001017	Daud					y
40001017018	40001017	sampai					y
40001017019	40001017	pembuangan					y
40001017020	40001017	ke					y
40001017021	40001017	Babel	y				y
40001017022	40001017	,		y			n
40001017023	40001017	dan					y
40001017024	40001017	empat					y
40001017025	40001017	belas					y
40001017026	40001017	keturunan					y
40001017027	40001017	dari					y
40001017028	40001017	pembuangan					y
40001017029	40001017	ke					y
40001017030	40001017	Babel					y
40001017031	40001017	sampai					y
40001017032	40001017	Kristus	y				y
40001017033	40001017	.		y			n
40001018001	40001018	Kelahiran					y
40001018002	40001018	Yesus					y
40001018003	40001018	Kristus					y
40001018004	40001018	adalah					y
40001018005	40001018	seperti					y
40001018006	40001018	berikut	y				y
40001018007	40001018	:		y			n
40001018008	40001018	Pada					y
40001018009	40001018	waktu					y
40001018010	40001018	Maria	y				y
40001018011	40001018	,		y			n
40001018012	40001018	ibu-Nya	y				y
40001018013	40001018	,		y			n
40001018014	40001018	bertunangan					y
40001018015	40001018	dengan					y
40001018016	40001018	Yusuf	y				y
40001018017	40001018	,		y			n
40001018018	40001018	ternyata					y
40001018019	40001018	ia					y
40001018020	40001018	mengandung					y
40001018021	40001018	dari					y
40001018022	40001018	Roh					y
40001018023	40001018	Kudus	y				y
40001018024	40001018	,		y			n
40001018025	40001018	sebelum					y
40001018026	40001018	mereka					y
40001018027	40001018	hidup					y
40001018028	40001018	sebagai					y
40001018029	40001018	suami					y
40001018030	40001018	isteri	y				y
40001018031	40001018	.		y			n
40001019001	40001019	Karena					y
40001019002	40001019	Yusuf					y
40001019003	40001019	suaminya	y				y
40001019004	40001019	,		y			n
40001019005	40001019	seorang					y
40001019006	40001019	yang					y
40001019007	40001019	tulus					y
40001019008	40001019	hati					y
40001019009	40001019	dan					y
40001019010	40001019	tidak					y
40001019011	40001019	mau					y
40001019012	40001019	mencemarkan					y
40001019013	40001019	nama					y
40001019014	40001019	isterinya					y
40001019015	40001019	di					y
40001019016	40001019	muka					y
40001019017	40001019	umum	y				y
40001019018	40001019	,		y			n
40001019019	40001019	ia					y
40001019020	40001019	bermaksud					y
40001019021	40001019	menceraikannya					y
40001019022	40001019	dengan					y
40001019023	40001019	diam-diam	y				y
40001019024	40001019	.		y			n
40001020001	40001020	Tetapi					y
40001020002	40001020	ketika					y
40001020003	40001020	ia					y
40001020004	40001020	mempertimbangkan					y
40001020005	40001020	maksud					y
40001020006	40001020	itu	y				y
40001020007	40001020	,		y			n
40001020008	40001020	malaikat					y
40001020009	40001020	Tuhan					y
40001020010	40001020	nampak					y
40001020011	40001020	kepadanya					y
40001020012	40001020	dalam					y
40001020013	40001020	mimpi					y
40001020014	40001020	dan					y
40001020015	40001020	berkata	y				y
40001020016	40001020	:		y			n
40001020017	40001020	”	y	y			n
40001020018	40001020	Yusuf	y				y
40001020019	40001020	,		y			n
40001020020	40001020	anak					y
40001020021	40001020	Daud	y				y
40001020022	40001020	,		y			n
40001020023	40001020	janganlah					y
40001020024	40001020	engkau					y
40001020025	40001020	takut					y
40001020026	40001020	mengambil					y
40001020027	40001020	Maria					y
40001020028	40001020	sebagai					y
40001020029	40001020	isterimu	y				y
40001020030	40001020	,		y			n
40001020031	40001020	sebab					y
40001020032	40001020	anak					y
40001020033	40001020	yang					y
40001020034	40001020	di					y
40001020035	40001020	dalam					y
40001020036	40001020	kandungannya					y
40001020037	40001020	adalah					y
40001020038	40001020	dari					y
40001020039	40001020	Roh					y
40001020040	40001020	Kudus	y				y
40001020041	40001020	.		y			n
40001021001	40001021	Ia					y
40001021002	40001021	akan					y
40001021003	40001021	melahirkan					y
40001021004	40001021	anak					y
40001021005	40001021	laki-laki					y
40001021006	40001021	dan					y
40001021007	40001021	engkau					y
40001021008	40001021	akan					y
40001021009	40001021	menamakan					y
40001021010	40001021	Dia					y
40001021011	40001021	Yesus	y				y
40001021012	40001021	,		y			n
40001021013	40001021	karena					y
40001021014	40001021	Dialah					y
40001021015	40001021	yang					y
40001021016	40001021	akan					y
40001021017	40001021	menyelamatkan					y
40001021018	40001021	umat-Nya					y
40001021019	40001021	dari					y
40001021020	40001021	dosa					y
40001021021	40001021	mereka	y				y
40001021022	40001021	.	y	y			n
40001021023	40001021	”		y			n
40001022001	40001022	Hal					y
40001022002	40001022	itu					y
40001022003	40001022	terjadi					y
40001022004	40001022	supaya					y
40001022005	40001022	genaplah					y
40001022006	40001022	yang					y
40001022007	40001022	difirmankan					y
40001022008	40001022	Tuhan					y
40001022009	40001022	oleh					y
40001022010	40001022	nabi	y				y
40001022011	40001022	:		y			n
40001023001	40001023	”	y	y			n
40001023002	40001023	Sesungguhnya	y				y
40001023003	40001023	,		y			n
40001023004	40001023	anak					y
40001023005	40001023	dara					y
40001023006	40001023	itu					y
40001023007	40001023	akan					y
40001023008	40001023	mengandung					y
40001023009	40001023	dan					y
40001023010	40001023	melahirkan					y
40001023011	40001023	seorang					y
40001023012	40001023	anak					y
40001023013	40001023	laki-laki	y				y
40001023014	40001023	,		y			n
40001023015	40001023	dan					y
40001023016	40001023	mereka					y
40001023017	40001023	akan					y
40001023018	40001023	menamakan					y
40001023019	40001023	Dia					y
40001023020	40001023	Imanuel	y				y
40001023021	40001023	”		y			n
40001023022	40001023	–		y			n
40001023023	40001023	yang					y
40001023024	40001023	berarti	y				y
40001023025	40001023	:		y			n
40001023026	40001023	Allah					y
40001023027	40001023	menyertai					y
40001023028	40001023	kita	y				y
40001023029	40001023	.		y			n
40001024001	40001024	Sesudah					y
40001024002	40001024	bangun					y
40001024003	40001024	dari					y
40001024004	40001024	tidurnya	y				y
40001024005	40001024	,		y			n
40001024006	40001024	Yusuf					y
40001024007	40001024	berbuat					y
40001024008	40001024	seperti					y
40001024009	40001024	yang					y
40001024010	40001024	diperintahkan					y
40001024011	40001024	malaikat					y
40001024012	40001024	Tuhan					y
40001024013	40001024	itu					y
40001024014	40001024	kepadanya	y				y
40001024015	40001024	.		y			n
40001024016	40001024	Ia					y
40001024017	40001024	mengambil					y
40001024018	40001024	Maria					y
40001024019	40001024	sebagai					y
40001024020	40001024	isterinya	y				y
40001024021	40001024	,		y			n
40001025001	40001025	tetapi					y
40001025002	40001025	tidak					y
40001025003	40001025	bersetubuh					y
40001025004	40001025	dengan					y
40001025005	40001025	dia					y
40001025006	40001025	sampai					y
40001025007	40001025	ia					y
40001025008	40001025	melahirkan					y
40001025009	40001025	anaknya					y
40001025010	40001025	laki-laki					y
40001025011	40001025	dan					y
40001025012	40001025	Yusuf					y
40001025013	40001025	menamakan					y
40001025014	40001025	Dia					y
40001025015	40001025	Yesus	y				y
40001025016	40001025	.		y			n
40002001001	40002001	Sesudah					y
40002001002	40002001	Yesus					y
40002001003	40002001	dilahirkan					y
40002001004	40002001	di					y
40002001005	40002001	Betlehem					y
40002001006	40002001	di					y
40002001007	40002001	tanah					y
40002001008	40002001	Yudea					y
40002001009	40002001	pada					y
40002001010	40002001	zaman					y
40002001011	40002001	raja					y
40002001012	40002001	Herodes	y				y
40002001013	40002001	,		y			n
40002001014	40002001	datanglah					y
40002001015	40002001	orang-orang					y
40002001016	40002001	majus					y
40002001017	40002001	dari					y
40002001018	40002001	Timur					y
40002001019	40002001	ke					y
40002001020	40002001	Yerusalem					y
40002002001	40002002	dan					y
40002002002	40002002	bertanya-tanya	y				y
40002002003	40002002	:		y			n
40002002004	40002002	”	y	y			n
40002002005	40002002	Di					y
40002002006	40002002	manakah					y
40002002007	40002002	Dia	y				y
40002002008	40002002	,		y			n
40002002009	40002002	raja					y
40002002010	40002002	orang					y
40002002011	40002002	Yahudi					y
40002002012	40002002	yang					y
40002002013	40002002	baru					y
40002002014	40002002	dilahirkan					y
40002002015	40002002	itu	y				y
40002002016	40002002	?		y			n
40002002017	40002002	Kami					y
40002002018	40002002	telah					y
40002002019	40002002	melihat					y
40002002020	40002002	bintang-Nya					y
40002002021	40002002	di					y
40002002022	40002002	Timur					y
40002002023	40002002	dan					y
40002002024	40002002	kami					y
40002002025	40002002	datang					y
40002002026	40002002	untuk					y
40002002027	40002002	menyembah					y
40002002028	40002002	Dia	y				y
40002002029	40002002	.	y	y			n
40002002030	40002002	”		y			n
40002003001	40002003	Ketika					y
40002003002	40002003	raja					y
40002003003	40002003	Herodes					y
40002003004	40002003	mendengar					y
40002003005	40002003	hal					y
40002003006	40002003	itu					y
40002003007	40002003	terkejutlah					y
40002003008	40002003	ia					y
40002003009	40002003	beserta					y
40002003010	40002003	seluruh					y
40002003011	40002003	Yerusalem	y				y
40002003012	40002003	.		y			n
40002004001	40002004	Maka					y
40002004002	40002004	dikumpulkannya					y
40002004003	40002004	semua					y
40002004004	40002004	imam					y
40002004005	40002004	kepala					y
40002004006	40002004	dan					y
40002004007	40002004	ahli					y
40002004008	40002004	Taurat					y
40002004009	40002004	bangsa					y
40002004010	40002004	Yahudi	y				y
40002004011	40002004	,		y			n
40002004012	40002004	lalu					y
40002004013	40002004	dimintanya					y
40002004014	40002004	keterangan					y
40002004015	40002004	dari					y
40002004016	40002004	mereka	y				y
40002004017	40002004	,		y			n
40002004018	40002004	di					y
40002004019	40002004	mana					y
40002004020	40002004	Mesias					y
40002004021	40002004	akan					y
40002004022	40002004	dilahirkan	y				y
40002004023	40002004	.		y			n
40002005001	40002005	Mereka					y
40002005002	40002005	berkata					y
40002005003	40002005	kepadanya	y				y
40002005004	40002005	:		y			n
40002005005	40002005	”	y	y			n
40002005006	40002005	Di					y
40002005007	40002005	Betlehem					y
40002005008	40002005	di					y
40002005009	40002005	tanah					y
40002005010	40002005	Yudea	y				y
40002005011	40002005	,		y			n
40002005012	40002005	karena					y
40002005013	40002005	demikianlah					y
40002005014	40002005	ada					y
40002005015	40002005	tertulis					y
40002005016	40002005	dalam					y
40002005017	40002005	kitab					y
40002005018	40002005	nabi	y				y
40002005019	40002005	:		y			n
40002006001	40002006	Dan					y
40002006002	40002006	engkau					y
40002006003	40002006	Betlehem	y				y
40002006004	40002006	,		y			n
40002006005	40002006	tanah					y
40002006006	40002006	Yehuda	y				y
40002006007	40002006	,		y			n
40002006008	40002006	engkau					y
40002006009	40002006	sekali-kali					y
40002006010	40002006	bukanlah					y
40002006011	40002006	yang					y
40002006012	40002006	terkecil					y
40002006013	40002006	di					y
40002006014	40002006	antara					y
40002006015	40002006	mereka					y
40002006016	40002006	yang					y
40002006017	40002006	memerintah					y
40002006018	40002006	Yehuda	y				y
40002006019	40002006	,		y			n
40002006020	40002006	karena					y
40002006021	40002006	dari					y
40002006022	40002006	padamulah					y
40002006023	40002006	akan					y
40002006024	40002006	bangkit					y
40002006025	40002006	seorang					y
40002006026	40002006	pemimpin	y				y
40002006027	40002006	,		y			n
40002006028	40002006	yang					y
40002006029	40002006	akan					y
40002006030	40002006	menggembalakan					y
40002006031	40002006	umat-Ku					y
40002006032	40002006	Israel	y				y
40002006033	40002006	.	y	y			n
40002006034	40002006	”		y			n
40002007001	40002007	Lalu					y
40002007002	40002007	dengan					y
40002007003	40002007	diam-diam					y
40002007004	40002007	Herodes					y
40002007005	40002007	memanggil					y
40002007006	40002007	orang-orang					y
40002007007	40002007	majus					y
40002007008	40002007	itu					y
40002007009	40002007	dan					y
40002007010	40002007	dengan					y
40002007011	40002007	teliti					y
40002007012	40002007	bertanya					y
40002007013	40002007	kepada					y
40002007014	40002007	mereka	y				y
40002007015	40002007	,		y			n
40002007016	40002007	bilamana					y
40002007017	40002007	bintang					y
40002007018	40002007	itu					y
40002007019	40002007	nampak	y				y
40002007020	40002007	.		y			n
40002008001	40002008	Kemudian					y
40002008002	40002008	ia					y
40002008003	40002008	menyuruh					y
40002008004	40002008	mereka					y
40002008005	40002008	ke					y
40002008006	40002008	Betlehem	y				y
40002008007	40002008	,		y			n
